"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"… semaglutide vs placebo as an adjunct to intensive behavioral therapy on body weight in adults with overweight or obesity: the STEP 3 randomized clinical trial","https://scispace.com/paper/q8yH-BbJHU4J","","","","TA Wadden
TS Bailey
LK Billings
M Davies
JP Frias","","","… present clinical trial was designed to maximize weight loss in … risk factors of adding subcutaneous semaglutide, 2.4 mg, to … an initial 8-week low-calorie diet to boost total weight loss. …",""
"Efficacy and safety of semaglutide on weight loss in obese or overweight patients without diabetes: a systematic review and meta-analysis of randomized controlled …","https://scispace.com/paper/bHWAeYAK6BIJ","","","","X Gao
X Hua
X Wang
W Xu
Y Zhang","","https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2022.935823/pdf","Frontiers | Efficacy and safety of semaglutide on weight loss in obese or overweight patients without diabetes: A systematic review and meta-analysis of randomized controlled trials …",""
"Once-weekly semaglutide for weight management: a clinical review","https://scispace.com/paper/once-weekly-semaglutide-for-weight-management-a-clinical-13l1j1gj","2022","Journal Article","The Journal of pharmacy technology","Abby Fornes
Jamie Huff
Roger Iain Pritchard
Miranda Godfrey","10.1177/87551225221092681","https://pmc.ncbi.nlm.nih.gov/articles/PMC9272494/pdf/10.1177_87551225221092681.pdf","… significant weight loss across all phase 3 STEP (semaglutide … , placebo-controlled, multicenter clinical trial Adults with a BMI of … %, and 13% body weight reduction at 1 year, respectively, …","Objective: To review the efficacy, safety, and role of the glucagon-like peptide-1 (GLP-1) receptor agonist semaglutide for chronic weight management. Data Sources: A literature search of PubMed/MEDLINE and Google Scholar was performed using the search terms: semaglutide 2.4, weight, and obesity. Ongoing studies of semaglutide were identified utilizing clinicaltrials.gov. Study Selection and Data Extraction: All English-language articles evaluating the efficacy and safety of semaglutide 2.4 mg for weight management in humans were included. Data Synthesis: Once-weekly injectable semaglutide 2.4 mg is indicated as an adjunct to a reduced-calorie diet and increased exercise for chronic weight management in adults with a body mass index (BMI) ≥30 kg/m2 or ≥27 kg/m2 with at least one weight-related comorbidity, such as hypertension, type 2 diabetes mellitus, or dyslipidemia. Semaglutide 2.4 mg has consistently demonstrated clinically significant weight loss across all phase 3 STEP (semaglutide treatment effect in people with obesity) trials, and long-term efficacy and safety have been confirmed for up to 2 years. Gastrointestinal side effects were the most frequently reported side effects, including nausea, vomiting, constipation, and diarrhea. Safety data for semaglutide 2.4 mg were consistent with that reported previously for the GLP-1 receptor agonist class. Conclusions: Semaglutide 2.4 mg is a highly efficacious agent for weight management, with a safety profile similar to that of other GLP-1 receptor agonists. It is a feasible option for chronic weight management, with data for up to 2 years. It is currently the only once-weekly weight loss medication, although cost may limit its utilization."
"An overview of existing and emerging weight-loss drugs to target obesity-related complications: insights from clinical trials","https://scispace.com/paper/an-overview-of-existing-and-emerging-weight-loss-drugs-to-3owgra8gtdjx","2024","Journal Article","Biomolecules & Therapeutics","Mi-Kyung Kim
Hye Soon Kim","10.4062/biomolther.2024.228","","… weight loss and improve the overall health of people with obesity, this article sought to review the clinical trial-… with semaglutide 2.4 mg resulted in a body weight reduction of 17%; when …","Obesity requires treatment as it is associated with health problems such as type 2 diabetes, hypertension, dyslipidemia, cardiovascular diseases, and some cancers, which increase mortality rates. Achieving sufficient weight loss to reduce obesity-related diseases requires a variety of interventions, including comprehensive lifestyle modification of diet and exercise, change in behavior, anti-obesity medications, and surgery. To date, anti-obesity agents with various mechanisms of action have been developed, and mostly reduce energy intake, resulting in weight loss of about 5% to 10% compared to baseline. Recently developed drugs and those currently under development have been shown to reduce body weight by more than 10% and are expected to reduce obesity-related complications. This article summarizes existing and emerging anti-obesity medications, with a particular focus on those evaluated in clinical trials. "
"Semaglutide in HFpEF across obesity class and by body weight reduction: a prespecified analysis of the STEP-HFpEF trial","https://scispace.com/paper/semaglutide-in-hfpef-across-obesity-class-and-by-body-weight-l0e0wog7bkzm","2024","Repository","","Barry A. Borlaug
Dalane W Kitzman
Melanie J. Davies
Søren Gregersen
Eric Barros
Javed Butler
Mette Nygaard Einfeldt
G Kees Hovingh
Daniel Vega Moller
Mark C. Petrie
Sanjiv J. Shah
Subodh Verma
Walter P. Abhayaratna
Fozia Ahmed
Vijay Chopra
Justin A. Ezekowitz
Michael Fu
Hiroshi Ito
Małgorzata Lelonek
Vojtěch Melenovský
Julio Núñez
Eduardo R. Perna
Morten Schou
Michele Senni
Peter van der Meer
Dirk von Lewinski
Dennis Wolf
Mikhail Kosiborod","10.60692/9fweb-02a71","https://www.nature.com/articles/s41591-023-02526-x.pdf","… In semaglutide-treated patients, the magnitude of benefit was directly related to the extent of weight loss. Collectively, these data support semaglutide-mediated weight loss as a key …","In the STEP-HFpEF trial, semaglutide improved symptoms, physical limitations and exercise function and reduced body weight in patients with obesity phenotype of heart failure and preserved ejection fraction (HFpEF). This prespecified analysis examined the effects of semaglutide on dual primary endpoints (change in Kansas City Cardiomyopathy Questionnaire-Clinical Summary Score (KCCQ-CSS) and body weight) and confirmatory secondary endpoints (change in 6-minute walk distance (6MWD), hierarchical composite (death, HF events, change in KCCQ-CSS and 6MWD) and change in C-reactive protein (CRP)) across obesity classes I–III (body mass index (BMI) 30.0–34.9 kg m−2, 35.0–39.9 kg m−2 and ≥40 kg m−2) and according to body weight reduction with semaglutide after 52 weeks. Semaglutide consistently improved all outcomes across obesity categories (P value for treatment effects × BMI interactions = not significant for all). In semaglutide-treated patients, improvements in KCCQ-CSS, 6MWD and CRP were greater with larger body weight reduction (for example, 6.4-point (95% confidence interval (CI): 4.1, 8.8) and 14.4-m (95% CI: 5.5, 23.3) improvements in KCCQ-CSS and 6MWD for each 10% body weight reduction). In participants with obesity phenotype of HFpEF, semaglutide improved symptoms, physical limitations and exercise function and reduced inflammation and body weight across obesity categories. In semaglutide-treated patients, the magnitude of benefit was directly related to the extent of weight loss. Collectively, these data support semaglutide-mediated weight loss as a key treatment strategy in patients with obesity phenotype of HFpEF. ClinicalTrials.gov identifier: NCT04788511 . In a prespecified secondary analysis of the STEP-HFpEF trial, semagludtide treatment was associated with improvements in KCCQ-CSS and body weight, as well as trial secondary endpoints, across the spectrum of obesity classes, with the magnitude of beneficial effects being proportional to the extent of weight loss. "
"… and safety of once‐weekly semaglutide 2.4 mg for weight management in participants from China: A prespecified analysis of the STEP 7 randomized clinical trial","https://scispace.com/paper/q4j0po5uwDEJ","","","","W Gu
Y Lu
X Ye
G Yuan
D Liu","","https://dom-pubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/dom.16253","… treated with semaglutide 2.4 mg achieved ≥5% body weight loss versus placebo (85.4% vs… the semaglutide 2.4 mg group in this analysis achieved a ≥5% body weight reduction from …",""
"Oral semaglutide for weight loss and liver fibrosis in overweight and obesity: A randomized controlled trial","https://scispace.com/paper/oral-semaglutide-for-weight-loss-and-liver-fibrosis-in-nq6u2aa6q1i5","2025","Journal Article","Indian Journal of Gastroenterology","Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur
Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur
Anudeep Katrevula
Rakesh Kalapala
Siddhant Agrawal
Nitin Jagtap
Anand V. Kulkarni
Chandhana Merugu
Goutham Reddy Katukuri
Nageshwar Reddy Duvvur","10.1007/s12664-025-01856-7","","… and weight loss has been shown to improve liver parameters. This study evaluates the efficacy of oral semaglutide for weight loss … at least 5% body weight reduction from baseline was …",""
"Semaglutide versus placebo in individuals with poor weight loss after bariatric surgery: a double-blinded, randomized, placebo-controlled trial","https://scispace.com/paper/lvqnMBrvm-IJ","","","","C Stanley
R Mallik
N Hamid
FC Jassil
V Reuven","","https://www.nature.com/articles/s41591-026-04416-4.pdf","… and clinically significant body weight reduction along with … clinical trial evaluating the safety and efficacy of semaglutide … -weekly semaglutide 2.4 mg will lead to greater weight loss and …",""
"Semaglutide for weight loss: was it worth the weight?","https://scispace.com/paper/semaglutide-for-weight-loss-was-it-worth-the-weight-2wmxipri","2022","Journal Article","Cardiology in Review","Joel Novograd
Jaime Mullally
William H. Frishman","10.1097/CRD.0000000000000430","","… endpoints for all trials were the percentage of body weight change from baseline to the end of treatment (Table 2) and the proportion of subjects who achieved a body weight reduction …","Obesity is a major public health issue with an increasing prevalence worldwide. Excess body fat is associated with various comorbidities, as well as increased overall mortality risk. The benefits of weight loss are evident by the reductions in morbidity and mortality. The foundation for most weight loss programs involves strict lifestyle modification, including dietary change and exercise. Unfortunately, many individuals struggle with weight loss and chronic weight management due to difficulty adhering to long-term lifestyle modification and the metabolic adaptations that promote weight regain. The use of adjunctive pharmacotherapy has been employed to help patients not only achieve greater weight loss than lifestyle modification alone but also to assist with long-term weight management. Historically, antiobesity drugs have produced only modest weight loss and required at least once daily administration. Glucagon-like peptide-1 (GLP-1), a hormone with significant effects on glycemic control and weight regulation, has been explored for use as adjunctive pharmacotherapy for weight loss. Semaglutide, a GLP-1 receptor agonist, was recently approved by the Food and Drug Administration for chronic weight management in adults with obesity or who are overweight. The approval came after the publication of the Semaglutide Treatment Effect in People with Obesity clinical trials. In these 68-week trials, semaglutide 2.4 mg was associated with significantly greater weight loss compared to placebo. Semaglutide differs from other GLP-1 receptor agonists by having a longer half-life and producing greater weight loss. This article provides an overview of the discovery and mechanism of action of semaglutide 2.4 mg, and the clinical trials that led to its approval."
"Long-term weight loss effects of semaglutide in obesity without diabetes in the SELECT trial","https://scispace.com/paper/long-term-weight-loss-effects-of-semaglutide-in-obesity-1edncqq1j0","2024","Journal Article","news@nature.com","Donna H Ryan
Ildiko Lingvay
John Deanfield
Steven E. Kahn
Eric Barros
Bartolome Burguera
Helen M. Colhoun
Cintia Cercato
Dror Dicker
Deborah B Horn
G. K. Hovingh
Ole K. Jeppesen
Alexander Kokkinos
A. M. Lincoff
Sebastian M. Meyhöfer
T. K. Oral
Jorge Plutzky
André P van Beek
John P H Wilding
Robert F. Kushner","10.1038/s41591-024-02996-7","https://www.nature.com/articles/s41591-024-02996-7.pdf","… These data, representing the longest clinical trial of the effects of semaglutide versus placebo on weight, establish the safety and durability of semaglutide effects on weight loss and …","Abstract In the SELECT cardiovascular outcomes trial, semaglutide showed a 20% reduction in major adverse cardiovascular events in 17,604 adults with preexisting cardiovascular disease, overweight or obesity, without diabetes. Here in this prespecified analysis, we examined effects of semaglutide on weight and anthropometric outcomes, safety and tolerability by baseline body mass index (BMI). In patients treated with semaglutide, weight loss continued over 65 weeks and was sustained for up to 4 years. At 208 weeks, semaglutide was associated with mean reduction in weight (−10.2%), waist circumference (−7.7 cm) and waist-to-height ratio (−6.9%) versus placebo (−1.5%, −1.3 cm and −1.0%, respectively; P &lt; 0.0001 for all comparisons versus placebo). Clinically meaningful weight loss occurred in both sexes and all races, body sizes and regions. Semaglutide was associated with fewer serious adverse events. For each BMI category (&lt;30, 30 to &lt;35, 35 to &lt;40 and ≥40 kg m − 2 ) there were lower rates (events per 100 years of observation) of serious adverse events with semaglutide (43.23, 43.54, 51.07 and 47.06 for semaglutide and 50.48, 49.66, 52.73 and 60.85 for placebo). Semaglutide was associated with increased rates of trial product discontinuation. Discontinuations increased as BMI class decreased. In SELECT, at 208 weeks, semaglutide produced clinically significant weight loss and improvements in anthropometric measurements versus placebo. Weight loss was sustained over 4 years. ClinicalTrials.gov identifier: NCT03574597 . "
